code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
601900,南方传媒,0.0,0.0,0.0,0.5,20161206,20170215,20170216,20160630
600329,中新药业,0.0,0.0,0.0,1.0,20160815,20161222,20161223,20160630
000595,宝塔实业,10.0,0.0,10.0,0.0,20160822,20161219,20161220,20160630
002810,山东赫达,0.0,0.0,0.0,1.5,20161026,20161214,20161215,20160630
002594,比亚迪,0.0,0.0,0.0,3.67,20160829,20161212,20161213,20160630
600777,新潮能源,28.0,0.0,28.0,0.0,20160712,20161212,20161213,20160630
000159,国际实业,0.0,0.0,0.0,0.3,20160802,20161207,20161208,20160630
600115,东方航空,0.0,0.0,0.0,0.51,20160831,20161206,20161207,20160630
300547,川环科技,0.0,0.0,0.0,10.0,20161029,20161201,20161202,20160630
002565,顺灏股份,0.0,0.0,0.0,1.0,20160826,20161123,20161124,20160630
300498,温氏股份,0.0,0.0,0.0,5.0,20160826,20161109,20161110,20160630
600543,莫高股份,0.0,0.0,0.0,0.2,20160823,20161108,20161109,20160630
600061,国投安信,0.0,0.0,0.0,2.13,20160826,20161107,20161108,20160630
600157,永泰能源,0.0,0.0,0.0,0.4,20160820,20161102,20161103,20160630
300097,智云股份,0.0,0.0,0.0,0.25,20160820,20161102,20161103,20160630
002125,湘潭电化,6.0,0.0,6.0,0.0,20160831,20161031,20161101,20160630
600175,美都能源,0.0,0.0,0.0,0.05,20160826,20161028,20161031,20160630
002436,兴森科技,20.0,0.0,20.0,0.03,20160928,20161027,20161028,20160630
002080,中材科技,0.0,0.0,0.0,1.46,20160818,20161026,20161027,20160630
300465,高伟达,22.0,0.0,22.0,0.0,20160713,20161025,20161026,20160630
300026,红日药业,20.0,0.0,20.0,0.0,20160712,20161025,20161026,20160630
603885,吉祥航空,0.0,0.0,0.0,2.5,20160827,20161024,20161025,20160630
002141,贤丰控股,25.0,0.0,25.0,0.0,20160711,20161021,20161024,20160630
000626,远大控股,10.0,0.0,10.0,3.33,20160622,20161020,20161021,20160630
000863,三湘印象,0.0,0.0,0.0,1.004195,20160830,20161020,20161021,20160630
002708,光洋股份,0.0,0.0,0.0,0.2,20160826,20161020,20161021,20160630
002118,紫鑫药业,10.0,0.0,10.0,0.0,20160825,20161020,20161021,20160630
300326,凯利泰,7.939119,0.0,7.939119,0.496194,20160826,20161020,20161021,20160630
000338,潍柴动力,0.0,0.0,0.0,1.0,20160831,20161019,20161020,20160630
601238,广汽集团,0.0,0.0,0.0,0.8,20160827,20161019,20161020,20160630
600748,上实发展,3.0,0.0,3.0,0.0,20160830,20161019,20161020,20160630
002600,江粉磁材,0.0,0.0,0.0,0.5,20160829,20161018,20161019,20160630
000065,北方国际,5.0,0.0,5.0,0.0,20160831,20161018,20161019,20160630
600661,新南洋,0.0,0.0,0.0,0.8,20160719,20161017,20161018,20160630
300426,唐德影视,15.0,0.0,15.0,0.0,20160801,20161017,20161018,20160630
002421,达实智能,20.0,0.0,20.0,0.0,20160826,20161017,20161018,20160630
300381,溢多利,20.0,0.0,20.0,1.0,20160818,20161017,20161018,20160630
601233,桐昆股份,0.0,0.0,0.0,0.5,20160818,20161013,20161014,20160630
600782,新钢股份,10.0,0.0,10.0,0.0,20160831,20161012,20161013,20160630
002394,联发股份,0.0,0.0,0.0,3.0,20160819,20161011,20161012,20160630
000420,吉林化纤,10.0,0.0,10.0,0.0,20160831,20161011,20161012,20160630
002102,冠福股份,20.0,0.0,20.0,0.0,20160822,20161011,20161012,20160630
002425,凯撒文化,0.0,0.0,0.0,0.5,20160825,20161010,20161011,20160630
002402,和而泰,15.0,2.0,13.0,0.5,20160620,20161010,20161011,20160630
002602,世纪华通,0.0,0.0,0.0,1.0,20160819,20160929,20160930,20160630
600376,首开股份,0.0,0.0,0.0,2.5,20160825,20160929,20160930,20160630
603737,三棵树,0.0,0.0,0.0,4.0,20160827,20160929,20160930,20160630
300198,纳川股份,12.0,0.0,12.0,0.0,20160721,20160928,20160929,20160630
